Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
5,0,0,0,14,21,25,1,32,2
5,0,0,0,0,0,0,27,31,37
5,0,0,0,0,0,0,25,30,40
4,9,9,13,15,15,17,18,0,0
4,8,11,14,17,21,25,0,0,0
4,8,11,14,17,20,23,1,1,1
4,8,10,10,15,20,27,2,2,2
4,7,11,14,18,21,25,0,0,0
4,7,11,14,18,21,25,0,0,0
4,7,11,14,18,21,25,0,0,0
4,7,11,14,18,21,25,0,0,0
4,7,11,14,18,21,25,0,0,0
4,7,11,14,18,21,25,0,0,0
4,7,11,14,18,21,25,0,0,0
4,7,11,14,18,21,25,0,0,0
4,7,11,14,18,21,25,0,0,0
4,7,11,14,18,21,25,0,0,0
4,7,11,14,17,21,26,0,0,0
4,7,11,14,17,20,24,1,1,1
4,7,10,15,17,22,25,0,0,0
4,7,10,14,17,21,24,1,1,1
4,7,10,14,17,21,24,1,1,1
4,7,10,13,16,19,22,2,3,4
4,7,9,12,14,16,18,20,0,0
4,6,8,12,16,21,33,0,0,0
4,6,8,10,12,14,17,19,4,5
4,6,7,9,11,13,15,17,18,0
4,5,6,13,13,13,13,13,18,2
4,5,6,8,11,24,42,0,0,0
4,5,6,7,8,18,22,26,2,2
4,5,6,7,8,10,13,19,28,0
4,5,2,19,18,19,3,4,3,23
4,4,19,4,19,4,19,4,19,4
4,4,6,3,6,9,25,9,17,17
4,4,4,8,13,17,20,30,0,0
4,4,4,6,8,13,15,22,24,0
4,4,4,4,12,20,25,25,1,1
4,4,4,4,4,24,4,26,26,0
4,4,4,4,4,4,34,34,4,4
4,2,2,15,3,23,4,4,5,38
4,1,6,1,11,5,16,10,30,16
4,1,1,16,21,25,29,1,1,1
4,1,1,1,1,1,1,30,30,30
4,1,1,1,1,1,1,30,30,30
4,1,1,1,1,1,1,28,30,32
4,1,1,1,1,1,1,26,30,34
4,0,12,0,19,0,30,0,35,0
4,0,1,1,5,10,18,19,22,20
4,0,0,0,1,1,1,30,31,32
4,0,0,0,0,0,0,32,32,32
4,0,0,0,0,0,0,32,32,32
4,0,0,0,0,0,0,32,32,32
4,0,0,0,0,0,0,29,32,35
4,0,0,0,0,0,0,28,32,36
4,0,0,0,0,0,0,28,32,36
3,11,11,11,11,21,26,2,2,2
3,9,14,14,10,3,16,14,16,1
3,7,11,14,18,21,26,0,0,0
3,7,11,14,0,0,0,29,0,36
3,7,10,14,18,21,24,1,1,1
3,7,10,14,17,21,25,1,1,1
3,7,10,14,17,21,25,1,1,1
3,7,10,14,17,21,25,1,1,1
3,7,10,14,17,21,25,1,1,1
3,7,10,14,17,21,24,1,1,2
3,7,0,14,0,21,26,29,0,0
3,6,10,14,18,22,27,0,0,0
3,6,10,14,18,21,25,1,1,1
3,6,10,12,16,21,26,2,2,2
3,6,9,12,15,18,21,16,0,0
3,6,9,12,15,18,21,5,5,6
3,6,9,12,15,17,20,16,1,1
3,6,9,12,14,16,18,22,0,0
3,6,9,11,14,16,18,20,1,2
3,6,9,3,3,18,3,24,27,4
3,6,7,9,11,13,15,17,18,1
3,6,7,9,11,2,27,31,2,2
3,6,6,15,2,5,22,37,2,2
3,6,6,11,11,16,21,26,0,0
3,6,1,13,1,21,25,28,1,1
3,5,8,13,21,25,25,0,0,0
3,5,8,13,18,24,29,0,0,0
3,5,8,11,14,16,21,22,0,0
3,5,8,10,13,1,26,30,2,2
3,5,7,13,16,19,17,10,7,3
3,5,7,11,14,17,20,23,0,0
3,5,7,9,11,13,15,17,20,0
3,5,7,9,11,13,15,17,19,1
3,5,7,9,11,13,15,17,19,1
3,5,7,9,11,13,15,17,19,1
3,5,7,9,11,13,15,17,19,1
3,5,7,9,11,13,15,17,19,1
3,5,6,10,20,23,30,1,1,1
3,4,11,13,16,21,27,2,2,1
3,4,9,10,14,6,11,6,9,18
3,4,8,0,20,0,30,35,0,0
3,4,5,18,22,20,21,2,3,2
3,4,5,6,7,8,22,22,22,1
3,4,4,5,6,7,9,11,17,34
3,4,4,5,6,0,0,24,26,28
3,4,4,3,6,11,20,25,11,13
3,4,0,0,1,0,2,0,7,83
3,3,19,3,3,3,3,21,21,21
3,3,13,13,3,13,13,18,3,18
3,3,10,12,12,15,17,22,3,3
3,3,7,3,3,3,22,24,3,29
3,3,6,7,3,15,10,30,20,3
3,3,5,8,8,11,11,14,17,20
3,3,5,5,7,7,30,30,5,5
3,3,4,6,8,11,15,21,19,10
3,3,4,4,4,4,4,35,4,35
3,3,3,19,3,24,3,3,3,36
3,3,3,15,15,15,20,20,3,3
3,3,3,13,25,26,27,0,0,0
3,3,3,8,9,20,22,15,12,5
3,3,3,4,8,8,13,16,19,23
3,3,3,3,11,16,21,34,3,3
3,3,3,3,7,16,18,21,23,3
3,3,3,3,7,12,22,22,22,3
3,3,3,3,3,38,3,3,3,38
3,3,3,3,3,21,31,31,1,1
3,3,3,3,3,16,20,22,24,3
3,3,3,3,3,15,12,40,12,6
3,3,3,3,3,11,16,21,34,3
3,3,3,3,3,3,3,3,3,73
3,2,7,13,5,15,14,12,14,13
3,2,7,12,5,18,10,12,13,18
3,2,2,2,2,2,2,28,29,28
3,2,2,2,1,1,1,31,29,28
3,1,6,5,10,20,10,20,0,25
3,1,1,11,13,15,1,21,23,11
3,0,9,0,0,0,21,31,36,0
3,0,4,8,0,0,15,35,35,0
3,0,0,11,0,0,26,27,30,0
3,0,0,0,0,0,0,31,32,34
3,0,0,0,0,0,0,29,32,36
3,0,0,0,0,0,0,29,32,36
3,0,0,0,0,0,0,29,32,36
3,0,0,0,0,0,0,29,31,37
2,18,18,18,18,2,2,10,10,2
2,18,18,2,2,2,18,18,18,2
2,17,5,8,13,21,34,0,0,0
2,16,6,15,2,11,21,5,1,21
2,12,13,13,2,2,2,2,26,26
2,12,2,15,2,18,2,21,2,24
2,11,11,11,11,11,3,36,2,2
2,10,2,0,20,20,20,20,3,3
2,8,2,2,16,22,22,22,2,2
2,8,2,2,13,18,23,28,2,2
2,8,2,2,10,18,26,26,3,3
2,7,11,14,18,21,25,0,1,1
2,6,10,14,18,22,26,1,1,0
2,6,8,13,18,22,24,3,2,2
2,6,7,2,20,20,20,20,2,1
2,6,2,12,2,18,2,24,2,30
2,6,2,2,11,16,21,36,2,2
2,5,8,13,20,0,25,27,0,0
2,5,8,12,17,24,32,0,0,0
2,5,8,11,14,17,20,23,0,0
2,5,8,11,14,17,20,23,0,0
2,5,8,11,13,16,19,22,2,2
2,5,7,9,11,13,15,17,20,1
2,5,7,1,12,1,1,19,25,27
2,5,6,6,21,0,25,0,35,0
2,5,5,5,11,11,17,17,20,7
2,5,5,5,5,10,16,21,26,5
2,5,0,0,0,21,31,41,0,0
2,4,10,10,15,15,20,20,2,2
2,4,9,0,0,0,15,15,25,30
2,4,8,11,14,16,19,22,2,2
2,4,8,10,20,25,25,0,0,0
2,4,7,13,17,17,18,22,0,0
2,4,7,12,16,19,18,12,7,3
2,4,7,9,11,13,19,35,0,0
2,4,7,0,16,21,22,26,1,1
2,4,6,16,20,24,28,0,0,0
2,4,6,16,1,21,2,22,5,21
2,4,6,15,19,23,28,1,1,1
2,4,6,13,15,18,18,24,0,0
2,4,6,10,12,14,16,18,18,0
2,4,6,8,12,14,16,18,20,0
2,4,6,8,11,14,16,18,19,2
2,4,6,8,11,13,16,18,22,0
2,4,6,8,11,13,16,18,20,2
2,4,6,8,10,35,0,0,0,35
2,4,6,8,10,14,22,28,4,2
2,4,6,8,10,14,17,20,9,10
2,4,6,8,10,12,16,21,21,0
2,4,6,8,10,12,14,20,24,0
2,4,6,8,10,12,14,16,18,10
2,4,6,8,10,12,14,16,18,10
2,4,6,8,10,12,14,16,18,10
2,4,6,8,10,12,14,16,18,0
2,4,6,8,10,10,12,14,16,18
2,4,6,8,9,11,14,17,29,0
2,4,6,8,0,12,14,16,18,20
2,4,5,7,11,13,17,19,20,2
2,4,5,7,9,15,17,20,21,0
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,14,16,19
2,4,5,7,9,11,13,14,16,19
2,4,5,7,9,11,13,14,16,16
2,4,5,5,10,10,20,40,4,0
2,4,5,5,3,3,4,4,32,38
2,4,4,8,9,10,12,15,17,19
2,4,4,4,4,10,18,20,22,12
2,4,2,3,14,21,1,30,21,2
2,3,11,2,15,18,21,1,26,1
2,3,8,2,2,0,17,26,38,2
2,3,7,9,13,18,20,24,2,2
2,3,7,9,11,13,15,18,21,1
2,3,6,11,16,26,33,1,1,1
2,3,6,6,11,16,22,32,1,1
2,3,5,10,10,10,10,20,10,10
2,3,5,8,13,21,13,21,13,1
2,3,5,8,12,17,23,30,0,0
2,3,5,7,10,11,13,14,16,19
2,3,5,7,9,15,17,19,21,2
2,3,5,7,9,11,13,15,17,18
2,3,5,7,9,11,12,15,17,19
2,3,5,7,9,11,12,14,17,20
2,3,5,7,9,11,12,14,16,21
2,3,5,7,8,13,14,15,16,17
2,3,5,7,8,10,12,15,18,20
2,3,5,6,7,9,10,30,13,15
2,3,4,5,11,20,21,30,2,2
2,3,4,5,7,11,20,33,15,0
2,3,4,5,7,9,11,15,19,25
2,3,4,5,6,14,15,16,17,18
2,3,4,5,6,14,15,16,17,18
2,3,3,13,21,22,23,7,3,3
2,3,3,5,6,17,18,21,22,3
2,3,3,4,3,3,3,70,3,6
2,3,3,3,5,5,7,7,15,50
2,3,2,13,13,21,2,21,21,2
2,3,2,8,3,2,26,25,26,3
2,3,2,6,12,3,16,21,31,4
2,3,2,3,0,11,12,21,23,23
2,2,18,18,2,18,18,18,2,2
2,2,14,16,2,18,20,22,2,2
2,2,11,11,11,11,12,26,12,2
2,2,11,11,11,2,2,26,31,2
2,2,10,17,5,19,3,1,39,2
2,2,10,14,16,22,2,28,2,2
2,2,8,12,14,16,18,20,3,5
2,2,8,8,18,19,19,20,2,2
2,2,6,12,2,18,24,30,2,2
2,2,6,11,16,2,2,26,2,31
2,2,6,11,12,14,21,30,1,1
2,2,6,6,6,26,26,26,0,0
2,2,6,6,2,20,20,20,20,2
2,2,5,13,2,2,18,24,30,2
2,2,4,11,12,12,12,15,15,15
2,2,4,7,12,16,17,1,1,38
2,2,4,6,10,16,26,30,2,2
2,2,4,5,7,10,10,15,20,25
2,2,4,5,7,10,10,15,20,25
2,2,4,5,7,10,10,15,20,25
2,2,4,4,15,21,22,24,3,3
2,2,3,6,8,11,2,2,27,37
2,2,3,4,8,14,17,20,29,1
2,2,3,4,7,10,14,22,35,1
2,2,3,4,6,8,11,15,21,28
2,2,3,4,5,15,17,23,27,2
2,2,3,3,13,21,26,28,1,1
2,2,2,22,2,2,22,22,22,2
2,2,2,21,5,3,21,21,21,2
2,2,2,21,2,29,2,2,2,36
2,2,2,20,2,2,22,22,24,2
2,2,2,16,17,18,19,20,2,2
2,2,2,16,2,19,2,15,25,15
2,2,2,15,17,18,19,20,2,2
2,2,2,15,16,17,25,5,6,10
2,2,2,14,16,18,20,22,2,2
2,2,2,12,15,18,21,24,2,2
2,2,2,12,15,18,21,24,2,2
2,2,2,12,2,17,2,2,27,32
2,2,2,12,2,2,19,26,31,2
2,2,2,11,16,16,2,2,21,26
2,2,2,11,2,2,11,15,51,2
2,2,2,11,0,21,31,31,0,0
2,2,2,10,20,20,20,20,2,2
2,2,2,10,13,17,22,28,2,2
2,2,2,10,13,16,16,35,2,2
2,2,2,10,11,16,17,18,11,11
2,2,2,10,2,2,26,26,26,2
2,2,2,9,10,25,25,25,0,0
2,2,2,6,8,16,16,16,16,16
2,2,2,6,8,12,14,16,20,18
2,2,2,5,5,26,26,26,3,3
2,2,2,4,10,12,14,16,18,20
2,2,2,3,5,6,9,14,22,35
2,2,2,3,4,6,11,14,22,34
2,2,2,3,3,10,18,19,20,21
2,2,2,2,22,22,22,2,2,22
2,2,2,2,21,21,21,21,4,4
2,2,2,2,18,20,2,22,28,2
2,2,2,2,18,18,18,18,18,2
2,2,2,2,16,19,2,25,28,2
2,2,2,2,16,17,18,19,20,2
2,2,2,2,16,16,16,16,26,2
2,2,2,2,14,16,18,20,22,2
2,2,2,2,14,2,21,22,31,2
2,2,2,2,13,24,2,25,26,2
2,2,2,2,11,16,21,21,21,2
2,2,2,2,11,11,11,3,3,53
2,2,2,2,11,11,2,33,33,2
2,2,2,2,11,1,1,23,26,30
2,2,2,2,10,25,20,33,2,2
2,2,2,2,10,20,20,20,20,2
2,2,2,2,10,16,18,21,25,2
2,2,2,2,10,14,18,22,26,2
2,2,2,2,3,3,4,30,50,2
2,2,2,2,3,2,18,28,39,2
2,2,2,2,2,42,2,2,2,42
2,2,2,2,2,27,33,24,2,2
2,2,2,2,2,26,2,2,2,58
2,2,2,2,2,22,22,22,24,0
2,2,2,2,2,22,22,22,22,2
2,2,2,2,2,22,22,22,22,2
2,2,2,2,2,22,22,22,22,2
2,2,2,2,2,18,18,18,18,18
2,2,2,2,2,17,17,17,20,2
2,2,2,2,2,14,16,18,20,22
2,2,2,2,2,12,21,21,22,14
2,2,2,2,2,11,11,10,38,20
2,2,2,2,2,9,18,25,28,10
2,2,2,2,2,8,14,28,38,2
2,2,2,2,2,2,26,29,31,2
2,2,2,2,2,2,22,22,22,2
2,2,2,2,2,2,20,33,33,2
2,2,2,2,2,2,18,21,23,26
2,2,2,2,2,2,18,21,23,26
2,2,2,2,2,2,18,2,34,34
2,2,2,2,2,2,13,12,31,32
2,2,2,2,2,2,2,28,29,29
2,2,2,2,2,2,2,28,28,30
2,2,2,2,2,2,2,21,21,44
2,2,2,2,2,2,2,2,82,2
2,2,2,2,2,2,2,2,42,42
2,2,2,2,2,2,2,2,2,82
2,2,2,2,2,2,2,2,2,2
2,2,2,1,2,7,19,19,9,37
2,1,16,15,16,16,13,19,1,1
2,1,6,6,7,11,16,21,23,7
2,1,5,15,4,13,5,19,14,22
2,1,4,4,5,11,19,17,13,24
2,1,3,7,12,18,26,31,0,0
2,1,2,11,16,2,2,2,31,31
2,1,2,2,5,13,10,12,22,31
2,1,1,1,15,2,30,2,44,2
2,1,1,1,1,1,1,30,31,31
2,1,1,1,1,1,1,30,31,31
2,1,1,1,1,1,1,27,31,34
2,0,2,0,15,17,20,5,11,28
2,0,0,8,10,12,14,16,18,20
2,0,0,0,0,0,0,32,33,33
2,0,0,0,0,0,0,31,33,34
1,19,1,19,1,19,1,19,1,19
1,18,1,18,1,18,1,20,1,21
1,16,16,16,16,16,1,16,1,1
1,15,17,14,1,1,11,19,20,1
1,11,11,11,11,11,1,41,1,1
1,11,1,14,1,20,1,24,1,26
1,11,1,1,17,19,23,25,1,1
1,11,1,1,16,19,23,26,1,1
1,10,12,14,15,20,1,25,1,1
1,10,11,11,11,16,1,26,12,1
1,10,1,1,14,15,20,34,2,2
1,9,10,10,10,10,20,30,0,0
1,8,2,2,13,18,20,32,2,2
1,8,1,1,18,19,22,30,0,0
1,8,1,1,14,19,24,30,1,1
1,7,11,11,11,11,11,35,1,1
1,7,8,9,10,11,12,13,14,15
1,7,8,9,10,11,12,13,14,15
1,7,8,9,7,4,11,16,21,16
1,7,2,11,14,2,2,26,33,2
1,7,1,1,16,20,24,28,1,1
1,7,1,1,15,15,30,30,0,0
1,7,1,1,11,11,28,38,1,1
1,7,1,1,1,1,24,1,30,33
1,7,1,1,1,1,1,29,29,29
1,6,8,11,14,17,19,22,1,1
1,6,8,11,1,1,2,2,34,34
1,6,6,6,6,11,11,16,16,21
1,6,1,13,1,19,1,25,1,32
1,6,1,1,17,22,22,26,2,2
1,5,5,11,16,21,16,11,7,7
1,5,1,12,1,21,1,26,31,1
1,5,1,6,21,26,1,37,1,1
1,5,1,5,1,5,1,5,38,38
1,5,1,1,17,21,24,28,1,1
1,4,9,3,16,19,7,10,12,19
1,4,7,9,15,17,2,19,26,0
1,4,6,12,15,15,21,24,1,1
1,4,6,8,12,14,16,18,20,1
1,4,6,8,10,12,14,16,18,11
1,4,5,5,15,15,15,15,25,0
1,4,2,2,3,12,14,16,26,20
1,4,1,11,1,21,1,26,1,33
1,4,1,3,11,17,10,21,1,31
1,4,1,1,18,21,26,26,1,1
1,4,1,1,1,1,1,30,30,30
1,3,6,14,16,17,18,21,2,2
1,3,6,10,15,20,25,15,3,2
1,3,6,9,1,15,18,21,25,1
1,3,5,8,13,21,16,13,11,9
1,3,5,8,10,13,15,18,15,12
1,3,5,7,9,12,14,15,16,18
1,3,5,7,9,12,12,14,16,21
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,10,12,14,21,18
1,3,5,1,10,12,14,16,18,20
1,3,4,15,16,20,20,20,0,1
1,3,4,8,12,15,18,19,20,0
1,3,4,6,9,11,14,16,17,19
1,3,4,6,8,12,14,16,17,19
1,3,4,6,8,10,13,19,36,0
1,3,3,9,12,19,16,17,20,0
1,3,3,3,3,15,2,34,34,2
1,3,2,4,8,20,26,34,1,1
1,3,1,1,20,21,21,30,1,1
1,3,1,1,17,20,21,30,3,3
1,2,11,6,11,2,13,21,31,2
1,2,6,0,5,9,21,28,28,0
1,2,5,10,17,23,20,13,6,3
1,2,5,9,14,19,21,17,12,0
1,2,4,14,2,2,2,36,34,3
